id,name,spring_quality,place,location,charactor,have_family_bath,address,telephone_number,price,holiday,budiness_time,is_child_bathing,parking,image,spa_url,ひとこと,家族風呂情報,lat,lng,place_id,photo_no
,弓ヶ浜温泉,2,0,0,4,FALSE,大分県別府市弓ケ浜町４−３３,なし,200円,第2・第4水曜日,"6:00〜10:00, 15:00〜24:00",TRUE,2台,,,,,33.28531,131.50278,ChIJVVW8S96mRjURdc7cg3LlIdA,3
,サンライン別府,2,0,0,5,TRUE,大分県別府市北浜２丁目１２−９,0977-26-1155,300円,なし,16:00~22:00,TRUE,10台（宿泊客優先のため、要問い合わせ）,,https://sunlinebeppu.com/onsen/,ゲストハウス サンライン別府さんの立ち寄り湯です。,料金は1000円/60分、当日先着予約制となっています。,33.28015,131.5071,ChIJe-zmZCGnRjURZCoPZDDxjTc,0
,弓松温泉,2,0,0,4,FALSE,大分県別府市北浜３丁目６−１１,090-6428-1193,200円,不定休,14:00〜16:00,TRUE,なし,,,,,33.28155,131.50493,ChIJRxp1PdymRjUR_yDRBOP2xBA,1
,別府のお宿 加賀屋,2,0,0,5,TRUE,大分県別府市北浜３丁目１２−１２番１４号,0977-75-7224,500円/45分,なし,11：00～16：00,TRUE,3台,,https://www.beppu-kagaya.com/,旅館 加賀屋さんの立ち寄り湯になります。,温泉は貸切湯のみ。3つの温泉から種類を選べます。ご予約はLINEからもできるそうなので、ぜひ。（LINE ID：@607ytdhq）,33.28119,131.50701,ChIJ50FQ49umRjURoTbdDBg7sHg,8
,ホテルシーウェーブ別府 熊八の湯,2,0,0,5,FALSE,大分県別府市駅前町１２−８,0977-27-1311,大人 500円、小人 300円,なし,"16:00~24:00, 6:00~10:00",TRUE,50台（宿泊者優先）,,https://www.beppuonsen.com/,露天風呂は男女で一日ずつ入れ替わりですのでご確認を忘れずに。,,33.27892,131.50071,ChIJg6ulBuimRjURennjAZkzCog,7
,ホテル芳泉鶴,2,0,1,0,FALSE,大分県別府市北浜３丁目１０−２３,0977-26-4666,600円,不定期,13:00〜21:00,TRUE,なし,,http://www.h-housenkaku.net/,大浴場は檜風呂なので香りも楽しめ、露天風呂は別府湾も見渡せる展望です。,,33.2817,131.50632,ChIJeUapVdmmRjUR7RpxPtbMOGc,0
,若草温泉,2,0,0,4,FALSE,大分県別府市若草町９−３７,なし,100円,なし,6:00〜22:30,TRUE,なし,,,,,33.28958,131.50315,ChIJK2baUSCnRjURdja_jRffkl0,3
,北的ヶ浜温泉,2,0,0,4,FALSE,大分県別府市北的ケ浜町５−３５,なし,100円,第１・第３日曜,6:30～22:00,TRUE,なし,,,,,33.28409,131.50472,ChIJAQAE796mRjURqSWdO0Z5p54,0
,餅ヶ浜温泉,2,0,0,4,FALSE,大分県別府市若草町３−２１,なし,100円,第３水曜日,6:30～22:00,TRUE,なし,,,,,33.29142,131.50129,ChIJF6vMYh-nRjURaFC4ySYPzVQ,0
,西鉄リゾートイン別府,2,0,0,0,FALSE,大分県別府市北浜２丁目１０−４,0977-26-5151,500円,なし,15:00~17:00,TRUE,38台,,https://nnr-h.com/n-inn/beppu/,バスセンターからのアクセス抜群です。,,33.28041,131.50627,ChIJwf2NitumRjURJfvo2Wofh3k,9
,くつろぎの温泉宿 山田別荘,2,0,0,3,TRUE,大分県別府市北浜３丁目２−１８,0977-24-2121,【内風呂】大人 500円、小人250円,不定期,11：00～15：00（入浴不可の日もあるため、事前のお問い合わせをお願いします）,TRUE,7台,,http://yamadabessou.jp/,昔ながらの風情が溢れる内湯です。ぜひ別府の歴史を感じてみては。,"【露天風呂(50分)】3,000円です。お電話にてお問い合わせをお願いいたします。",33.28185811,131.50361,ChIJJWzCzN2mRjURb5_R4d3gGEk,4
,京町温泉,2,0,0,4,FALSE,大分県別府市京町６−５,0977-25-9766,200円,第１・第3日曜,14:00～22：00,TRUE,3台（要問い合わせ）,,,,,33.28734,131.50243,ChIJ-bKl8t-mRjUR5pFfVbjkbiQ,0
,春日温泉,2,0,0,4,FALSE,大分県別府市駅前本町６−１６,0977-23-1486,200円,なし,6:30〜11:30／15:00〜23:00,TRUE,なし,,,,,33.28101,131.50256,ChIJ-1AFoN2mRjUR4muvQgFJ70k,5
,べっぷ好楽,2,0,0,3,FALSE,大分県別府市北浜３丁目１３−２１,0977-22-1331,大人600円、小学生300円,なし,15:00~21:00,TRUE,40台,,https://koraku.net/,,,33.28078,131.5068,ChIJD1Ak8NumRjUR55PokBE60qY,4
,寿温泉,2,0,0,4,FALSE,大分県別府市楠町１１−１５,0977-80-1599,"市内の方200円　市外の方300円
",なし,6:00〜10:00　15:00〜24:00,TRUE,なし,,,子宝の湯としても親しまれ、女性の病気によく効く温泉とも言われている。,,33.27632,131.50532,ChIJ__8AQsOmRjURghjMstkcGlo,1
,九日天温泉,2,0,0,4,FALSE,大分県別府市上田の湯町１５−８,0977-21-1304,130円,1/1～３,6:00〜11:00／14:00〜22：30,TRUE,8台,,,,,33.27834,131.49547,ChIJA6ur4O6mRjURUIJvsdJVGxs,1
,田の湯温泉,2,0,0,4,FALSE,大分県別府市田の湯町４−２３,0977-21-1381,大人200円　小人100円,第1火曜日,6:30〜14：00　15：00～22:30,TRUE,なし,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail6.html,,,33.27802,131.49816,ChIJSxDUAummRjURi1kNkj3TjcI,0
,海門寺温泉,2,0,0,4,FALSE,大分県別府市北浜２丁目３−２,0977-22-3625,大人250円　小人100円,第2月曜日,6:30～14：00　15：00〜22:30,TRUE,3台（車イス利用者用1台含む）　入浴者はつるみカーパーク　1時間無料,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail7.html,,,33.2805,131.50317,ChIJ_77PBd2mRjURhIPWwltIyQ0,5
